primary_ticker,ciq_company_id,transcript_id,key_devid,transcript_date,headline,parsing_quality_flag,cleaning_warning,warning_type,raw_component_count,cleaned_component_count,raw_word_count,cleaned_word_count,llm_word_count,word_count_drop_pct,has_presentation,has_qa,management_speaker_count,analyst_speaker_count,operator_component_count,safe_harbor_component_count,uncertain_safe_harbor_component_count,notes
INSM,29978,97312,98981052,2010-03-15,"Insmed Incorporated, Q4 2009 Earnings Call, Mar-15-2010",needs_review,no_qa_section_detected,no_qa_section_detected,6,6,1902,1902,1666,0.1240799158780231,True,False,3,0,2,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
INSM,29978,99907,104821882,2010-05-06,"Insmed Incorporated, Q1 2010 Earnings Call, May-06-2010",needs_review,no_qa_section_detected,no_qa_section_detected,6,6,1692,1692,1458,0.1382978723404255,True,False,3,0,2,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
INSM,29978,1264663,532442961,2017-08-03,"Insmed Incorporated, Q2 2017 Earnings Call, Aug 03, 2017",needs_review,no_qa_section_detected,no_qa_section_detected,6,6,2457,2457,2060,0.1615791615791616,True,False,3,0,2,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,859798,308187905,2015-08-14,"Kraft Foods Group, Inc., The Kraft Heinz Company, Q2 2015 Earnings Call, Aug 14, 2015",needs_review,no_qa_section_detected,no_qa_section_detected,5,5,804,804,526,0.345771144278607,True,False,2,0,2,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,2265985,713127903,2021-04-29,"The Kraft Heinz Company, Q1 2021 Pre Recorded Earnings Call, Apr 29, 2021",needs_review,no_qa_section_detected,no_qa_section_detected,6,6,3833,3833,3616,0.0566136185755282,True,False,5,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,2385249,1676169508,2021-08-04,"The Kraft Heinz Company, Q2 2021 Pre Recorded Earnings Call, Aug 04, 2021",needs_review,no_qa_section_detected,no_qa_section_detected,6,6,4079,4079,3854,0.0551605785731796,True,False,5,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,2414450,1684347080,2021-10-27,"The Kraft Heinz Company, Q3 2021 Pre Recorded Earnings Call, Oct 27, 2021",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,3080,3080,2877,0.0659090909090909,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,2496667,1764635357,2022-02-16,"The Kraft Heinz Company, Q4 2021 Pre Recorded Earnings Call, Feb 16, 2022",needs_review,no_qa_section_detected,no_qa_section_detected,6,6,4154,4154,3930,0.0539239287433799,True,False,5,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,2546170,1777110324,2022-04-27,"The Kraft Heinz Company, Q1 2022 Pre Recorded Earnings Call, Apr 27, 2022",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,3783,3783,3571,0.0560401797515199,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,2606081,1789593261,2022-07-27,"The Kraft Heinz Company, Q2 2022 Pre Recorded Earnings Call, Jul 27, 2022",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,4075,4075,3862,0.0522699386503067,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,2664483,1803043168,2022-10-26,"The Kraft Heinz Company, Q3 2022 Pre Recorded Earnings Call, Oct 26, 2022",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,4562,4562,4291,0.0594037702761947,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,2740276,1823040476,2023-02-15,"The Kraft Heinz Company, Q4 2022 Pre Recorded Earnings Call, Feb 15, 2023",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,3700,3700,3423,0.0748648648648648,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,2793724,1832689694,2023-05-03,"The Kraft Heinz Company, Q1 2023 Pre Recorded Earnings Call, May 03, 2023",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,4898,4898,4626,0.055532870559412,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,2865866,1847526923,2023-08-02,"The Kraft Heinz Company, Q2 2023 Pre Recorded Earnings Call, Aug 02, 2023",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,2846,2846,2575,0.095221363316936,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,2932366,1858513524,2023-11-01,"The Kraft Heinz Company, Q3 2023 Pre Recorded Earnings Call, Nov 01, 2023",needs_review,no_qa_section_detected,no_qa_section_detected,5,5,3741,3741,3463,0.0743116813686179,True,False,4,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,3260817,1868664945,2024-02-14,"The Kraft Heinz Company, Q4 2023 Pre Recorded Earnings Call, Feb 14, 2024",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,3437,3437,3163,0.0797206866453302,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,3105110,1877508245,2024-05-01,"The Kraft Heinz Company, Q1 2024 Pre Recorded Earnings Call, May 01, 2024",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,3682,3682,3419,0.0714285714285714,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,3207122,1887394127,2024-07-31,"The Kraft Heinz Company, Q2 2024 Pre Recorded Earnings Call, Jul 31, 2024",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,4165,4165,3901,0.0633853541416566,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,3294324,1902114963,2024-10-30,"The Kraft Heinz Company, Q3 2024 Pre Recorded Earnings Call, Oct 30, 2024",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,4000,4000,3737,0.0657499999999999,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,3377552,1917573387,2025-02-12,"The Kraft Heinz Company, Q4 2024 Pre Recorded Earnings Call, Feb 12, 2025",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,5035,5035,4768,0.0530287984111221,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,3428744,1938314750,2025-04-29,"The Kraft Heinz Company, Q1 2025 Pre Recorded Earnings Call, Apr 29, 2025",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,5435,5435,5170,0.0487580496780128,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,3511228,1955098261,2025-07-30,"The Kraft Heinz Company, Q2 2025 Pre Recorded Earnings Call, Jul 30, 2025",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,4479,4479,4214,0.0591649921857557,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
KHC,278212,3575602,1966036141,2025-10-29,"The Kraft Heinz Company, Q3 2025 Pre Recorded Earnings Call, Oct 29, 2025",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,4518,4518,4253,0.0586542718016821,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
LIN,318049,3633523,5069939,2008-01-23,"Praxair Inc., Q4 2007 Earnings Call, Jan-23-2008",needs_review,no_qa_section_detected,no_qa_section_detected,2,2,625,625,521,0.1664,True,False,1,0,1,0,1,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
PEP,32854,2043594,665836898,2020-04-28,"PepsiCo, Inc., Q1 2020 Pre Recorded Earnings Call, Apr 28, 2020",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,3365,3365,3129,0.0701337295690935,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
PEP,32854,2044030,669317587,2020-07-13,"PepsiCo, Inc., Q2 2020 Pre Recorded Earnings Call, Jul 13, 2020",needs_review,no_qa_section_detected,no_qa_section_detected,3,3,2837,2837,2597,0.0845964046528022,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
PEP,32854,2147002,685485009,2020-10-01,"PepsiCo, Inc., Q3 2020 Pre Recorded Earnings Call, Oct 01, 2020",needs_review,no_qa_section_detected,no_qa_section_detected,3,3,2538,2538,2296,0.0953506698187549,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
SBUX,34745,3287558,1901600701,2024-10-22,"Starbucks Corporation, Q4 2024 Pre Recorded Earnings Call, Oct 22, 2024",needs_review,no_qa_section_detected,no_qa_section_detected,1,1,1056,1056,1056,0.0,True,False,1,0,0,0,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
TMUS,93339,1317511,541286035,2017-10-23,"T-Mobile US, Inc., Q3 2017 Pre Recorded Earnings Call, Oct 23, 2017",needs_review,no_qa_section_detected,no_qa_section_detected,1,1,1154,1154,1154,0.0,True,False,1,0,0,0,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,9557,133856840,2006-08-15,"Wal-Mart Stores Inc., Q2 2007 Earnings Call, Aug 15, 2006",needs_review,no_qa_section_detected,no_qa_section_detected,7,7,5440,5440,4840,0.1102941176470588,True,False,5,0,1,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,9566,3562008,2007-02-20,"Wal-Mart Stores Inc., Q4 2007 Earnings Call, Feb 20, 2007",needs_review,no_qa_section_detected,no_qa_section_detected,7,7,6472,6472,5820,0.1007416563658838,True,False,6,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,29754,6335105,2009-08-13,"Wal-Mart Stores Inc., Q2 2010 Earnings Call, Aug 13, 2009",needs_review,no_qa_section_detected,no_qa_section_detected,8,8,9028,9028,8012,0.1125387682764732,True,False,7,0,1,0,1,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,41801,6335106,2009-11-12,"Wal-Mart Stores Inc., Q3 2010 Earnings Call, Nov-12-2009",needs_review,no_qa_section_detected,no_qa_section_detected,8,8,8630,8630,7580,0.1216685979142525,True,False,7,0,1,0,1,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,50663,6334604,2010-02-18,"Wal-Mart Stores Inc., Q4 2010 Earnings Call, Feb-18-2010",needs_review,no_qa_section_detected,no_qa_section_detected,8,8,11095,11095,10014,0.0974312753492564,True,False,7,0,1,0,1,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,66457,79163617,2010-05-18,"Wal-Mart Stores Inc., Q1 2011 Earnings Call, May-18-2010",needs_review,no_qa_section_detected,no_qa_section_detected,8,8,9312,9312,8365,0.1016967353951889,True,False,7,0,1,0,1,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,75122,79147925,2010-08-17,"Wal-Mart Stores Inc., Q2 2011 Earnings Call, Aug-17-2010",needs_review,no_qa_section_detected,no_qa_section_detected,8,8,8614,8614,7529,0.12595774320873,True,False,7,0,1,0,1,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,3693120,79147927,2010-11-16,"Wal-Mart Stores Inc., Q3 2011 Earnings Call, Nov 16, 2010",needs_review,no_qa_section_detected,no_qa_section_detected,8,8,10980,10980,9619,0.1239526411657558,True,False,7,0,1,0,1,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,105319,79147929,2011-02-22,"Wal-Mart Stores Inc., Q4 2011 Earnings Call, Feb 22, 2011",needs_review,no_qa_section_detected,no_qa_section_detected,8,8,12536,12536,10725,0.1444639438417357,True,False,7,0,1,0,1,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,131280,129808219,2011-05-17,"Wal-Mart Stores Inc., Q1 2012 Earnings Call, May 17, 2011",needs_review,no_qa_section_detected,no_qa_section_detected,8,8,10875,10875,9277,0.1469425287356321,True,False,7,0,1,0,1,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,160148,129808251,2011-08-16,"Wal-Mart Stores Inc., Q2 2012 Earnings Call, Aug 16, 2011",needs_review,no_qa_section_detected,no_qa_section_detected,8,8,10658,10658,9404,0.1176580972039782,True,False,7,0,1,0,1,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,192346,129808285,2011-11-15,"Wal-Mart Stores Inc., Q3 2012 Earnings Call, Nov 15, 2011",needs_review,no_qa_section_detected,no_qa_section_detected,8,8,10167,10167,8727,0.1416347005016228,True,False,7,0,1,0,1,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,310599,206981893,2012-05-17,"Wal-Mart Stores Inc., Q1 2013 Pre Recorded Earnings Call, May 17, 2012",needs_review,no_qa_section_detected,no_qa_section_detected,8,8,10211,10211,8776,0.1405347174615611,True,False,7,0,1,0,1,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,347572,215523238,2012-08-16,"Wal-Mart Stores Inc., Q2 2013 Pre Recorded Earnings Call, Aug 16, 2012",needs_review,no_qa_section_detected,no_qa_section_detected,8,8,12582,12582,10893,0.1342393896041964,True,False,7,0,1,0,2,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,388371,215523279,2012-11-15,"Wal-Mart Stores Inc., Q3 2013 Pre Recorded Earnings Call, Nov 15, 2012",needs_review,no_qa_section_detected,no_qa_section_detected,8,8,11905,11905,10342,0.1312893742125157,True,False,7,0,1,0,1,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,420482,215523311,2013-02-21,"Wal-Mart Stores Inc., Q4 2013 Pre Recorded Earnings Call, Feb 21, 2013",needs_review,no_qa_section_detected,no_qa_section_detected,10,10,13227,13227,11380,0.1396386179783775,True,False,8,0,1,0,1,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,466922,238923066,2013-05-16,"Wal-Mart Stores Inc., Q1 2014 Pre Recorded Earnings Call, May 16, 2013",needs_review,no_qa_section_detected,no_qa_section_detected,9,9,11571,11571,11448,0.0106300233341976,True,False,8,0,1,1,1,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,505424,244200584,2013-08-15,"Wal-Mart Stores Inc., Q2 2014 Pre Recorded Earnings Call, Aug 15, 2013",needs_review,no_qa_section_detected,no_qa_section_detected,9,9,13150,13150,13150,0.0,True,False,9,0,0,0,1,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,552386,250610092,2013-11-14,"Wal-Mart Stores Inc., Q3 2014 Pre Recorded Earnings Call, Nov 14, 2013",needs_review,no_qa_section_detected,no_qa_section_detected,9,9,12093,12093,10117,0.1634003142313734,True,False,7,0,2,1,1,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,588271,256757412,2014-02-20,"Wal-Mart Stores Inc., Q4 2014 Pre Recorded Earnings Call, Feb 20, 2014",needs_review,no_qa_section_detected,no_qa_section_detected,8,8,15369,15369,15369,0.0,True,False,8,0,0,0,2,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,636744,263639108,2014-05-15,"Wal-Mart Stores Inc., Q1 2015 Pre Recorded Earnings Call, May 15, 2014",needs_review,no_qa_section_detected,no_qa_section_detected,8,8,10503,10503,8715,0.1702370751213938,True,False,7,0,1,0,2,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,684386,269719510,2014-08-14,"Wal-Mart Stores Inc., Q2 2015 Pre Recorded Earnings Call, Aug 14, 2014",needs_review,no_qa_section_detected,no_qa_section_detected,9,9,11878,11878,11878,0.0,True,False,9,0,0,0,2,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,730813,274781364,2014-11-13,"Wal-Mart Stores Inc., Q3 2015 Pre Recorded Earnings Call, Nov 13, 2014",needs_review,no_qa_section_detected,no_qa_section_detected,8,8,9793,9793,9793,0.0,True,False,8,0,0,0,2,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,766845,274781377,2015-02-19,"Wal-Mart Stores Inc., Q4 2015 Pre Recorded Earnings Call, Feb 19, 2015",needs_review,no_qa_section_detected,no_qa_section_detected,9,9,12727,12727,12727,0.0,True,False,9,0,0,0,2,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,819310,280452550,2015-05-19,"Wal-Mart Stores Inc., Q1 2016 Pre Recorded Earnings Call, May 19, 2015",needs_review,no_qa_section_detected,no_qa_section_detected,8,8,9026,9026,9026,0.0,True,False,8,0,0,0,2,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,860647,280452627,2015-08-18,"Wal-Mart Stores Inc., Q2 2016 Pre Recorded Earnings Call, Aug 18, 2015",needs_review,no_qa_section_detected,no_qa_section_detected,8,8,10804,10804,10804,0.0,True,False,8,0,0,0,2,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,908679,280452666,2015-11-17,"Wal-Mart Stores Inc., Q3 2016 Pre Recorded Earnings Call, Nov 17, 2015",needs_review,no_qa_section_detected,no_qa_section_detected,8,8,8895,8895,7707,0.1335581787521079,True,False,7,0,1,0,2,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,936309,280452684,2016-02-18,"Wal-Mart Stores Inc., Q4 2016 Pre Recorded Earnings Call, Feb 18, 2016",needs_review,no_qa_section_detected,no_qa_section_detected,8,8,10791,10791,9355,0.1330738578445001,True,False,7,0,1,0,2,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,989081,326063400,2016-05-19,"Wal-Mart Stores Inc., Q1 2017 Pre Recorded Earnings Call, May 19, 2016",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,4603,4603,3723,0.1911796654355855,True,False,3,0,1,0,2,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,1037258,326063476,2016-08-18,"Wal-Mart Stores Inc., Q2 2017 Pre Recorded Earnings Call, Aug 18, 2016",needs_review,no_qa_section_detected,no_qa_section_detected,3,3,3991,3991,3743,0.0621398145828113,True,False,3,0,0,1,0,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
WMT,313055,1089141,326063534,2016-11-17,"Wal-Mart Stores Inc., Q3 2017 Pre Recorded Earnings Call, Nov 17, 2016",needs_review,no_qa_section_detected,no_qa_section_detected,4,4,4610,4610,4400,0.0455531453362255,True,False,3,0,0,1,1,"no Q&A section detected; may be prepared-remarks-only, early-format, or section metadata issue"
